rfr_id|test_class_id|test_item_id|minor_item|rfr_deficiency_category|rfr_desc|rfr_loc_marker|rfr_insp_manual_desc|rfr_advisory_text|test_item_set_section_id
8748|5|5786|Y|Pre-EU Directive|with character(s) which are not the correct height|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8748|7|5786|Y|Pre-EU Directive|with character(s) which are not the correct height|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8749|3|5786|Y|Pre-EU Directive|with character(s) which are not the correct width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8749|4|5786|Y|Pre-EU Directive|with character(s) which are not the correct width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8749|5|5786|Y|Pre-EU Directive|with character(s) which are not the correct width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8749|7|5786|Y|Pre-EU Directive|with character(s) which are not the correct width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8750|3|5786|Y|Pre-EU Directive|with character(s) which are not the correct stroke width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8750|4|5786|Y|Pre-EU Directive|with character(s) which are not the correct stroke width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8750|5|5786|Y|Pre-EU Directive|with character(s) which are not the correct stroke width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8750|7|5786|Y|Pre-EU Directive|with character(s) which are not the correct stroke width|Y|a registration plate with characters which are obviously not the correct height, character width, stroke width, not of equal width along their entire length or incorrectly spaced||5785
8751|3|5786|Y|Pre-EU Directive|character(s) sloping|Y|a registration plate with a character not correctly formed, sloping, or likely to be misread||5785
8751|4|5786|Y|Pre-EU Directive|character(s) sloping|Y|a registration plate with a character not correctly formed, sloping, or likely to be misread||5785
8751|5|5786|Y|Pre-EU Directive|character(s) sloping|Y|a registration plate with a character not correctly formed, sloping, or likely to be misread||5785
8751|7|5786|Y|Pre-EU Directive|character(s) sloping|Y|a registration plate with a character not correctly formed, sloping, or likely to be misread||5785
8752|3|5786|Y|Pre-EU Directive|font not substantially similar to the prescribed font|Y|a registration plate with characters formed using a font which is not substantially similar to the prescribed font||5785
8752|4|5786|Y|Pre-EU Directive|font not substantially similar to the prescribed font|Y|a registration plate with characters formed using a font which is not substantially similar to the prescribed font||5785
8752|5|5786|Y|Pre-EU Directive|font not substantially similar to the prescribed font|Y|a registration plate with characters formed using a font which is not substantially similar to the prescribed font||5785
8752|7|5786|Y|Pre-EU Directive|font not substantially similar to the prescribed font|Y|a registration plate with characters formed using a font which is not substantially similar to the prescribed font||5785
8753|3|5786|Y|Pre-EU Directive|character(s) formed using broken strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8753|4|5786|Y|Pre-EU Directive|character(s) formed using broken strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8753|5|5786|Y|Pre-EU Directive|character(s) formed using broken strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8753|7|5786|Y|Pre-EU Directive|character(s) formed using broken strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8754|3|5786|Y|Pre-EU Directive|character(s) formed using multiple strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8754|4|5786|Y|Pre-EU Directive|character(s) formed using multiple strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8754|5|5786|Y|Pre-EU Directive|character(s) formed using multiple strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8754|7|5786|Y|Pre-EU Directive|character(s) formed using multiple strokes|Y|a registration plate with characters formed using broken or multiple strokes||5785
8755|3|5786|Y|Pre-EU Directive|character(s) laid out in an incorrect format|Y|a registration plate with characters laid out in an incorrect format||5785
8755|4|5786|Y|Pre-EU Directive|character(s) laid out in an incorrect format|Y|a registration plate with characters laid out in an incorrect format||5785
8755|5|5786|Y|Pre-EU Directive|character(s) laid out in an incorrect format|Y|a registration plate with characters laid out in an incorrect format||5785
8755|7|5786|Y|Pre-EU Directive|character(s) laid out in an incorrect format|Y|a registration plate with characters laid out in an incorrect format||5785
8756|3|5786|Y|Pre-EU Directive|margin less than the minimum requirement|Y|a registration plate with a margin obviously less that the minimum requirement||5785
8756|4|5786|Y|Pre-EU Directive|margin less than the minimum requirement|Y|a registration plate with a margin obviously less that the minimum requirement||5785
8756|5|5786|Y|Pre-EU Directive|margin less than the minimum requirement|Y|a registration plate with a margin obviously less that the minimum requirement||5785
8756|7|5786|Y|Pre-EU Directive|margin less than the minimum requirement|Y|a registration plate with a margin obviously less that the minimum requirement||5785
8757|3|5786|Y|Pre-EU Directive|non-reflective border wider than permitted|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8757|4|5786|Y|Pre-EU Directive|non-reflective border wider than permitted|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8757|5|5786|Y|Pre-EU Directive|non-reflective border wider than permitted|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8757|7|5786|Y|Pre-EU Directive|non-reflective border wider than permitted|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8758|3|5786|Y|Pre-EU Directive|non-reflective border too close to the characters|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8758|4|5786|Y|Pre-EU Directive|non-reflective border too close to the characters|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8758|5|5786|Y|Pre-EU Directive|non-reflective border too close to the characters|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8758|7|5786|Y|Pre-EU Directive|non-reflective border too close to the characters|Y|a registration plate with a non-reflective border obviously wider than permitted or positioned too close to the characters||5785
8759|3|5786|Y|Pre-EU Directive|displaying an unacceptable symbol or flag on a dual purpose plate|Y|a dual purpose registration plate displaying a symbol other than an acceptable international symbol or flag||5785
8759|4|5786|Y|Pre-EU Directive|displaying an unacceptable symbol or flag on a dual purpose plate|Y|a dual purpose registration plate displaying a symbol other than an acceptable international symbol or flag||5785
8759|7|5786|Y|Pre-EU Directive|displaying an unacceptable symbol or flag on a dual purpose plate|Y|a dual purpose registration plate displaying a symbol other than an acceptable international symbol or flag||5785
8760|3|5786|Y|Pre-EU Directive|delaminated|Y|a registration plate faded, dirty, delaminated, deteriorated or obscured (for example by a towbar so that it is likely to be mis-read or is not easily legible by a person standing approximately 20 metres to the front/rear of the vehicle)|delaminated but not likely to be misread|5785
8760|4|5786|Y|Pre-EU Directive|delaminated|Y|a registration plate faded, dirty, delaminated, deteriorated or obscured (for example by a towbar so that it is likely to be mis-read or is not easily legible by a person standing approximately 20 metres to the front/rear of the vehicle)|delaminated but not likely to be misread|5785
8760|5|5786|Y|Pre-EU Directive|delaminated|Y|a registration plate faded, dirty, delaminated, deteriorated or obscured (for example by a towbar so that it is likely to be mis-read or is not easily legible by a person standing approximately 20 metres to the front/rear of the vehicle)|delaminated but not likely to be misread|5785
8760|7|5786|Y|Pre-EU Directive|delaminated|Y|a registration plate faded, dirty, delaminated, deteriorated or obscured (for example by a towbar so that it is likely to be mis-read or is not easily legible by a person standing approximately 20 metres to the front/rear of the vehicle)|delaminated but not likely to be misread|5785
8800|4|5741|N|Pre-EU Directive|emits an excessive level of metered smoke for a turbo charged engine|N|after 6 free accelerations, the mean of the last 3 smoke levels is :·  for turbocharged engines more than 3.0m-1||5730
8800|5|5741|N|Pre-EU Directive|emits an excessive level of metered smoke for a turbo charged engine|N|after 6 free accelerations, the mean of the last 3 smoke levels is :·  for turbocharged engines more than 3.0m-1||5730
8800|7|5741|N|Pre-EU Directive|emits an excessive level of metered smoke for a turbo charged engine|N|after 6 free accelerations, the mean of the last 3 smoke levels is :·  for turbocharged engines more than 3.0m-1||5730
8801|4|5741|N|Pre-EU Directive|tailpipe not capable of allowing the emission probe to be inserted|N|the emissions cannot be measured because a tailpipe accessory is fitted which prevents insertion of the analyser probe||5730
8801|5|5741|N|Pre-EU Directive|tailpipe not capable of allowing the emission probe to be inserted|N|the emissions cannot be measured because a tailpipe accessory is fitted which prevents insertion of the analyser probe||5730
8801|7|5741|N|Pre-EU Directive|tailpipe not capable of allowing the emission probe to be inserted|N|the emissions cannot be measured because a tailpipe accessory is fitted which prevents insertion of the analyser probe||5730
8802|4|5741|N|Pre-EU Directive|emits excessive smoke or vapour of any colour|N|Exhaust emits excessive smoke or vapour of any colour to an extent likely to obscure the vision of other road users.||5730
8802|5|5741|N|Pre-EU Directive|emits excessive smoke or vapour of any colour|N|Exhaust emits excessive smoke or vapour of any colour to an extent likely to obscure the vision of other road users.||5730
8802|7|5741|N|Pre-EU Directive|emits excessive smoke or vapour of any colour|N|Exhaust emits excessive smoke or vapour of any colour to an extent likely to obscure the vision of other road users.||5730
8803|4|5732|N|Pre-EU Directive|emits clearly visible black smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits black smoke during acceleration|5730
8803|5|5732|N|Pre-EU Directive|emits clearly visible black smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits black smoke during acceleration|5730
8803|7|5732|N|Pre-EU Directive|emits clearly visible black smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits black smoke during acceleration|5730
8804|4|5742|N|Pre-EU Directive|emits an excessive level of metered smoke for a non-turbo charged engine|N|after 6 free accelerations, the mean of the last 3 smoke levels is :· For a non-turbocharged engine, more than 2.5m-1||5730
8804|5|5742|N|Pre-EU Directive|emits an excessive level of metered smoke for a non-turbo charged engine|N|after 6 free accelerations, the mean of the last 3 smoke levels is :· For a non-turbocharged engine, more than 2.5m-1||5730
8804|7|5742|N|Pre-EU Directive|emits an excessive level of metered smoke for a non-turbo charged engine|N|after 6 free accelerations, the mean of the last 3 smoke levels is :· For a non-turbocharged engine, more than 2.5m-1||5730
